"n.hosp","fips","med.surg.beds","ped.med.surg.bed","icu.beds","nicu.beds","ped.icu.beds","calc.tot.beds","lisc.beds","tot.staffed.facility.beds","tot.staffed.hosp.beds","facility.inpatient.days","hosp.inpatiend.days"
"6","23019","334","17","31","29","6","632","648","632","0","171879","0"
"6","23005","527","61","50","30","8","1046","1155","1046","516","292638","158520"
"4","23011","152","4","18","0","0","427","479","427","44","127098","13687"
"3","23009","19","0","3","0","0","100","25","100","0","11762","0"
"1","23027","17","0","4","0","0","25","25","25","0","5876","0"
"2","23029","41","2","0","0","0","50","50","50","0","10700","0"
"4","23003","78","10","18","0","0","275","345","275","132","70430","25306"
"2","23021","43","0","0","0","0","75","50","75","0","10533","0"
"1","23007","32","6","5","0","0","48","65","48","0","6753","0"
"1","23015","25","0","0","0","0","91","91","91","25","26416","6959"
"2","23001","88","12","19","0","0","540","250","540","0","145278","0"
"2","23031","120","9","14","0","0","254","287","254","84","66212","29260"
"2","23017","38","0","0","0","0","50","50","50","0","7912","0"
"2","23025","41","0","6","0","0","50","50","50","0","9176","0"
"1","23013","53","5","6","0","0","151","178","151","81","42081","17242"
"5","33015","64","3","10","0","0","541","100","541","0","129744","0"
"5","33013","196","8","20","0","0","519","365","519","0","134940","0"
"3","33007","43","0","5","0","0","62","50","62","0","9211","0"
"1","33019","25","0","0","0","0","25","25","25","0","3403","0"
"2","33017","138","6","17","0","0","238","290","238","0","46479","0"
"5","33009","247","13","46","30","5","506","471","506","0","135689","0"
"1","33005","39","3","10","0","0","94","169","94","0","21637","0"
"1","33001","66","0","6","0","0","90","137","90","0","22896","0"
"6","33011","371","33","98","37","0","882","1047","882","0","215495","0"
"2","33003","39","0","5","0","0","95","95","95","25","22852","4192"
"1","50007","273","20","21","20","4","500","620","500","0","122184","0"
"2","50023","47","0","14","0","0","270","300","270","92","70088","18117"
"1","50003","0","0","0","0","0","77","0","77","0","17414","0"
"3","50025","48","0","5","0","0","199","229","199","0","48529","0"
"1","50001","0","0","0","0","0","25","0","25","0","4615","0"
"1","50015","21","0","0","0","0","25","43","25","0","4647","0"
"1","50019","14","2","5","0","0","25","49","25","0","5755","0"
"1","50017","0","0","0","0","0","52","0","52","0","14505","0"
"1","50021","79","0","13","0","0","126","144","126","0","30439","0"
"1","50011","0","0","0","0","0","55","0","55","0","8956","0"
"1","50005","0","0","0","0","0","25","0","25","0","4833","0"
"3","50027","43","0","7","0","0","146","78","146","0","30272","0"
"8","25009","415","23","59","0","0","1514","748","1514","0","390242","0"
"9","25013","808","66","61","33","7","1745","1525","1745","0","434634","0"
"17","25017","1279","51","172","10","0","3535","4053","3535","0","979687","0"
"6","25023","131","8","8","0","0","1416","216","1416","0","404246","0"
"11","25027","854","66","117","27","10","1899","1553","1899","0","499685","0"
"20","25025","2265","371","268","142","111","6154","5155","6154","50","1828743","6591"
"9","25005","483","15","42","0","0","1259","1069","1259","0","347582","0"
"4","25001","268","9","21","0","0","438","414","438","0","115759","0"
"10","25021","328","17","23","10","0","1501","720","1501","0","397994","0"
"3","25003","172","9","15","0","0","369","412","369","0","91092","0"
"1","25011","44","3","6","0","0","89","89","89","0","18795","0"
"1","25019","12","2","1","0","0","19","19","19","0","2189","0"
"2","25015","34","0","6","0","0","173","140","173","0","65214","0"
"1","25007","17","1","3","0","0","86","25","86","25","26398","5280"
"11","44007","576","68","42","0","16","2167","1036","2167","0","606103","0"
"1","44005","57","0","10","0","0","104","129","104","0","24731","0"
"2","44009","134","4","17","0","0","166","225","166","0","29652","0"
"1","44003","204","0","15","0","0","320","359","320","0","55769","0"
"11","09009","1081","84","124","92","19","2501","2341","2501","0","734325","0"
"8","09001","992","25","81","50","0","1821","2189","1821","0","503345","0"
"11","09003","996","95","88","94","18","2606","2528","2606","808","748514","230017"
"3","09007","157","2","24","0","0","644","890","644","0","261096","0"
"2","09011","282","15","22","13","0","435","541","435","0","109040","0"
"2","09015","22","0","0","0","0","161","130","161","0","26027","0"
"4","09013","0","0","0","0","0","211","60","211","0","53856","0"
"2","09005","74","2","15","0","0","122","187","122","0","32160","0"
"2","36077","53","0","0","0","0","336","184","336","53","94889","7868"
"2","36033","58","0","10","0","0","326","396","326","101","92564","15203"
"1","36009","138","6","7","0","0","186","186","186","0","32060","0"
"5","36065","290","31","41","0","0","1502","783","1502","121","448823","16338"
"6","36071","272","11","30","12","0","968","1025","968","0","299370","0"
"20","36061","4979","309","522","230","138","11012","11923","11012","561","3233156","142629"
"3","36085","584","43","88","14","7","1323","1362","1323","0","371690","0"
"14","36119","1097","94","125","63","18","3524","3397","3524","300","997410","71797"
"5","36001","889","62","95","56","19","1630","1562","1630","71","468691","20000"
"2","36037","86","5","6","0","0","261","131","261","0","52300","0"
"9","36005","2194","197","224","70","25","4764","4474","4764","917","1396648","203765"
"13","36047","1765","125","181","76","33","5105","4562","5105","209","1486350","68406"
"2","36091","115","7","12","0","0","259","259","259","0","82646","0"
"2","36105","47","2","6","0","0","134","233","134","61","41890","20321"
"3","36045","79","26","10","0","0","261","290","261","0","51230","0"
"15","36103","1513","87","178","38","14","4084","3465","4084","358","1332680","185267"
"1","36057","70","0","5","0","0","290","290","290","130","84727","30975"
"1","36011","63","2","5","0","0","179","99","179","99","47968","20824"
"4","36101","75","0","8","0","0","601","560","601","195","146584","53893"
"3","36063","150","8","20","0","0","565","309","565","0","134926","0"
"9","36081","1068","66","85","29","0","2981","2034","2981","0","894252","0"
"10","36059","2525","117","291","96","45","4616","5021","4616","0","1515009","0"
"3","36007","357","12","32","22","0","704","828","704","0","175097","0"
"11","36029","1480","78","156","72","20","4110","3820","4110","2372","1197679","615575"
"4","36069","204","0","22","0","0","766","869","766","232","199105","49541"
"6","36089","81","0","0","0","0","425","119","425","0","103054","0"
"2","36079","96","4","10","0","0","331","355","331","0","95181","0"
"1","36021","0","0","0","0","0","192","0","192","0","33713","0"
"1","36095","0","0","0","0","0","40","0","40","0","5803","0"
"1","36023","35","0","12","0","0","149","244","149","67","41727","13671"
"2","36003","18","2","2","0","0","114","49","114","0","24910","0"
"1","36051","30","0","8","0","0","48","67","48","0","7703","0"
"3","36025","15","0","0","0","0","56","25","56","0","8290","0"
"3","36013","51","10","14","0","0","180","321","180","0","46752","0"
"1","36031","0","0","0","0","0","40","0","40","0","5171","0"
"3","36111","25","0","0","0","0","280","25","280","0","55221","0"
"3","36015","181","20","3","13","0","468","327","468","0","106959","0"
"1","36113","195","12","16","0","0","349","406","349","0","55727","0"
"1","36035","38","0","8","0","0","137","158","137","53","37759","7692"
"2","36053","48","5","6","0","0","256","261","256","71","69712","9261"
"1","36109","77","0","8","8","0","159","212","159","0","29984","0"
"1","36043","0","0","0","0","0","25","0","25","0","3290","0"
"1","36049","13","0","6","0","0","185","185","185","25","59914","4384"
"1","36073","0","0","0","0","0","60","0","60","0","11627","0"
"1","36097","21","0","4","0","0","145","145","145","25","44116","3609"
"1","36117","55","0","9","0","0","289","300","289","109","82463","19090"
"1","36017","41","5","2","0","0","138","138","138","58","26718","3669"
"5","36087","120","9","11","10","0","1277","375","1277","0","381817","0"
"1","36075","55","2","8","0","0","99","164","99","0","20151","0"
"1","36123","25","0","3","0","0","189","186","189","0","52196","0"
"1","36019","127","10","14","0","0","264","354","264","229","61120","50204"
"2","36027","332","18","21","9","0","449","449","449","0","114197","0"
"5","36055","1094","98","128","34","12","2289","2098","2289","331","723090","105346"
"3","36093","281","15","18","15","0","881","423","881","459","205086","86118"
"5","36067","986","87","129","49","15","1879","1942","1879","0","499013","0"
"1","36083","142","0","12","0","0","277","257","277","0","58049","0"
"1","36121","0","0","0","0","0","75","0","75","0","17671","0"
"6","34039","536","10","43","7","0","1113","1311","1113","340","295010","86534"
"11","34013","1246","121","151","94","34","3204","3507","3204","0","883776","0"
"6","34025","986","66","117","37","15","1686","2095","1686","0","392613","0"
"8","34005","504","7","54","0","0","1035","931","1035","0","243795","0"
"5","34027","548","38","46","22","9","1825","1423","1825","0","534843","0"
"9","34023","1110","140","131","69","22","2261","2640","2261","68","594088","19425"
"2","34011","188","14","24","6","0","376","376","376","0","98172","0"
"9","34003","1362","85","88","32","19","3892","3848","3892","1059","1026740","213222"
"8","34029","699","2","78","0","0","1139","1416","1139","0","302385","0"
"5","34001","382","20","26","5","0","1290","673","1290","50","374088","14717"
"7","34017","292","35","28","21","0","1594","704","1594","0","350662","0"
"3","34035","158","0","28","0","0","657","771","657","0","186496","0"
"5","34007","1179","44","133","44","12","2205","2174","2205","526","537921","118479"
"1","34009","149","0","16","0","0","178","242","178","0","27204","0"
"2","34033","198","0","19","0","0","222","222","222","0","20390","0"
"1","34019","0","0","0","0","0","184","0","184","0","37446","0"
"2","34041","152","0","20","0","0","172","309","172","0","31871","0"
"6","34021","427","10","70","12","0","1186","1124","1186","60","362768","15245"
"1","34037","103","0","10","0","0","148","148","148","0","39327","0"
"2","34031","570","54","74","30","6","1318","1031","1318","880","253486","143388"
"1","34015","243","10","14","0","0","311","305","311","0","43109","0"
"8","42079","510","24","59","9","0","1238","997","1238","0","285282","0"
"14","42091","982","21","143","56","0","2820","2432","2820","0","647095","0"
"5","42077","609","32","78","38","8","1453","1586","1453","133","376838","7935"
"29","42101","3046","408","390","290","79","7600","7082","7600","933","1985697","287162"
"2","42031","39","0","7","0","0","140","144","140","0","33164","0"
"3","42075","73","0","9","0","0","467","262","467","0","119255","0"
"1","42121","57","0","8","0","0","128","174","128","112","33556","28962"
"4","42085","78","0","13","0","0","340","226","340","0","74318","0"
"26","42003","2706","233","432","169","36","6231","6560","6231","467","1718283","118735"
"5","42043","718","59","90","64","18","1415","1445","1415","76","383495","18483"
"5","42095","524","37","78","20","0","928","996","928","0","221519","0"
"7","42011","591","34","71","24","0","1432","1457","1432","0","361526","0"
"3","42021","350","11","29","16","0","608","567","608","0","104500","0"
"4","42093","225","36","42","21","14","773","720","773","0","224785","0"
"2","42007","152","22","30","0","0","320","361","320","0","58387","0"
"6","42041","300","4","33","5","0","789","755","789","0","157799","0"
"7","42049","381","7","45","29","0","1019","954","1019","7","231760","1180"
"5","42129","287","0","33","0","0","820","1001","820","0","224196","0"
"5","42013","283","12","33","0","0","564","524","564","0","135244","0"
"11","42029","527","8","88","25","0","1404","1309","1404","0","318358","0"
"3","42027","164","4","12","0","0","452","452","452","0","99077","0"
