Area_name,fips,pop.per.square.mile
UNITED STATES,00000,87.4
ALABAMA,01000,94.4
"Autauga, AL",01001,91.8
"Baldwin, AL",01003,114.6
"Barbour, AL",01005,31
"Bibb, AL",01007,36.8
"Blount, AL",01009,88.9
"Bullock, AL",01011,17.5
"Butler, AL",01013,27
"Calhoun, AL",01015,195.7
"Chambers, AL",01017,57.4
"Cherokee, AL",01019,46.9
"Chilton, AL",01021,63
"Choctaw, AL",01023,15.2
"Clarke, AL",01025,20.9
"Clay, AL",01027,23.1
"Cleburne, AL",01029,26.7
"Coffee, AL",01031,73.6
"Colbert, AL",01033,91.8
"Conecuh, AL",01035,15.6
"Coosa, AL",01037,17.7
"Covington, AL",01039,36.6
"Crenshaw, AL",01041,22.8
"Cullman, AL",01043,109.4
"Dale, AL",01045,89.6
"Dallas, AL",01047,44.8
"DeKalb, AL",01049,91.5
"Elmore, AL",01051,128.2
"Escambia, AL",01053,40.5
"Etowah, AL",01055,195.2
"Fayette, AL",01057,27.5
"Franklin, AL",01059,50
"Geneva, AL",01061,46.6
"Greene, AL",01063,14
"Hale, AL",01065,24.5
"Henry, AL",01067,30.8
"Houston, AL",01069,175.1
"Jackson, AL",01071,49.4
"Jefferson, AL",01073,592.5
"Lamar, AL",01075,24.1
"Lauderdale, AL",01077,138.8
"Lawrence, AL",01079,49.7
"Lee, AL",01081,230.8
"Limestone, AL",01083,147.8
"Lowndes, AL",01085,15.8
"Macon, AL",01087,35.2
"Madison, AL",01089,417.7
"Marengo, AL",01091,21.5
"Marion, AL",01093,41.5
"Marshall, AL",01095,164.4
"Mobile, AL",01097,335.9
"Monroe, AL",01099,22.5
"Montgomery, AL",01101,292.5
"Morgan, AL",01103,206.3
"Perry, AL",01105,14.7
"Pickens, AL",01107,22.4
"Pike, AL",01109,48.9
"Randolph, AL",01111,39.5
"Russell, AL",01113,82.6
"St. Clair, AL",01115,132.3
"Shelby, AL",01117,248.5
"Sumter, AL",01119,15.2
"Talladega, AL",01121,111.7
"Tallapoosa, AL",01123,58.1
"Tuscaloosa, AL",01125,147.3
"Walker, AL",01127,84.7
"Washington, AL",01129,16.3
"Wilcox, AL",01131,13.1
"Winston, AL",01133,39.9
ALASKA,02000,1.2
"Aleutians East, AK",02013,0.4
"Aleutians West, AK",02016,1.3
"Anchorage, AK",02020,171.2
"Bethel, AK",02050,0.4
"Bristol Bay, AK",02060,2
"Denali, AK",02068,0.1
"Dillingham, AK",02070,0.3
"Fairbanks North Star, AK",02090,13.3
"Haines, AK",02100,1.1
"Hoonah-Angoon, AK",02105,0.3
"Juneau, AK",02110,11.6
"Kenai Peninsula, AK",02122,3.4
"Ketchikan Gateway, AK",02130,2.8
"Kodiak Island, AK",02150,2.1
"Lake and Peninsula, AK",02164,0.1
"Matanuska-Susitna, AK",02170,3.6
"Nome, AK",02180,0.4
"North Slope, AK",02185,0.1
"Northwest Arctic, AK",02188,0.2
"Petersburg, AK",02195,1.2
"Prince of Wales-Hyder, AK",02198,1.4
"Sitka, AK",02220,3.1
"Skagway, AK",02230,2.1
"Southeast Fairbanks, AK",02240,0.3
"Valdez-Cordova, AK",02261,0.3
"Wade Hampton, AK",02270,0.4
"Wrangell, AK",02275,0.9
"Yakutat, AK",02282,0.1
"Yukon-Koyukuk, AK",02290,0
ARIZONA,04000,56.3
"Apache, AZ",04001,6.4
"Cochise, AZ",04003,21.3
"Coconino, AZ",04005,7.2
"Gila, AZ",04007,11.3
"Graham, AZ",04009,8.1
"Greenlee, AZ",04011,4.6
"La Paz, AZ",04012,4.6
"Maricopa, AZ",04013,414.9
"Mohave, AZ",04015,15
"Navajo, AZ",04017,10.8
"Pima, AZ",04019,106.7
"Pinal, AZ",04021,70
"Santa Cruz, AZ",04023,38.3
"Yavapai, AZ",04025,26
"Yuma, AZ",04027,35.5
ARKANSAS,05000,56
"Arkansas, AR",05001,19.2
"Ashley, AR",05003,23.6
"Baxter, AR",05005,74.9
"Benton, AR",05007,261.2
"Boone, AR",05009,62.5
"Bradley, AR",05011,17.7
"Calhoun, AR",05013,8.5
"Carroll, AR",05015,43.6
"Chicot, AR",05017,18.3
"Clark, AR",05019,26.6
"Clay, AR",05021,25.2
"Cleburne, AR",05023,46.9
"Cleveland, AR",05025,14.5
"Columbia, AR",05027,32.1
"Conway, AR",05029,38.5
"Craighead, AR",05031,136.4
"Crawford, AR",05033,104.4
"Crittenden, AR",05035,83.5
"Cross, AR",05037,29
"Dallas, AR",05039,12.2
"Desha, AR",05041,16.9
"Drew, AR",05043,22.3
"Faulkner, AR",05045,174.8
"Franklin, AR",05047,29.8
"Fulton, AR",05049,19.8
"Garland, AR",05051,141.7
"Grant, AR",05053,28.3
"Greene, AR",05055,72.9
"Hempstead, AR",05057,31.1
"Hot Spring, AR",05059,53.5
"Howard, AR",05061,23.4
"Independence, AR",05063,48
"Izard, AR",05065,23.6
"Jackson, AR",05067,28.4
"Jefferson, AR",05069,88.9
"Johnson, AR",05071,38.7
"Lafayette, AR",05073,14.5
"Lawrence, AR",05075,29.6
"Lee, AR",05077,17.3
"Lincoln, AR",05079,25.2
"Little River, AR",05081,24.7
"Logan, AR",05083,31.6
"Lonoke, AR",05085,88.7
"Madison, AR",05087,18.8
"Marion, AR",05089,27.9
"Miller, AR",05091,69.5
"Mississippi, AR",05093,51.6
"Monroe, AR",05095,13.4
"Montgomery, AR",05097,12.2
"Nevada, AR",05099,14.6
"Newton, AR",05101,10.1
"Ouachita, AR",05103,35.6
"Perry, AR",05105,18.9
"Phillips, AR",05107,31.3
"Pike, AR",05109,18.8
"Poinsett, AR",05111,32.4
"Polk, AR",05113,24.1
"Pope, AR",05115,76
"Prairie, AR",05117,13.4
"Pulaski, AR",05119,503.8
"Randolph, AR",05121,27.6
"St. Francis, AR",05123,44.5
"Saline, AR",05125,148
"Scott, AR",05127,12.6
"Searcy, AR",05129,12.3
"Sebastian, AR",05131,236.4
"Sevier, AR",05133,30.2
"Sharp, AR",05135,28.6
"Stone, AR",05137,20.4
"Union, AR",05139,40.1
"Van Buren, AR",05141,24.4
"Washington, AR",05143,215.6
"White, AR",05145,74.5
"Woodruff, AR",05147,12.4
"Yell, AR",05149,23.9
CALIFORNIA,06000,239.1
"Alameda, CA",06001,2043.6
"Alpine, CA",06003,1.6
"Amador, CA",06005,64.1
"Butte, CA",06007,134.4
"Calaveras, CA",06009,44.7
"Colusa, CA",06011,18.6
"Contra Costa, CA",06013,1465.2
"Del Norte, CA",06015,28.4
"El Dorado, CA",06017,106
"Fresno, CA",06019,156.2
"Glenn, CA",06021,21.4
"Humboldt, CA",06023,37.7
"Imperial, CA",06025,41.8
"Inyo, CA",06027,1.8
"Kern, CA",06029,103.3
"Kings, CA",06031,110.1
"Lake, CA",06033,51.5
"Lassen, CA",06035,7.7
"Los Angeles, CA",06037,2419.6
"Madera, CA",06039,70.6
"Marin, CA",06041,485.1
"Mariposa, CA",06043,12.6
"Mendocino, CA",06045,25.1
"Merced, CA",06047,132.2
"Modoc, CA",06049,2.5
"Mono, CA",06051,4.7
"Monterey, CA",06053,126.5
"Napa, CA",06055,182.4
"Nevada, CA",06057,103.1
"Orange, CA",06059,3807.7
"Placer, CA",06061,247.6
"Plumas, CA",06063,7.8
"Riverside, CA",06065,303.8
"Sacramento, CA",06067,1470.8
"San Benito, CA",06069,39.8
"San Bernardino, CA",06071,101.5
"San Diego, CA",06073,735.8
"San Francisco, CA",06075,17179.1
"San Joaquin, CA",06077,492.6
"San Luis Obispo, CA",06079,81.7
"San Mateo, CA",06081,1602.2
"Santa Barbara, CA",06083,155
"Santa Clara, CA",06085,1381
"Santa Cruz, CA",06087,589.4
"Shasta, CA",06089,46.9
"Sierra, CA",06091,3.4
"Siskiyou, CA",06093,7.2
"Solano, CA",06095,503
"Sonoma, CA",06097,307.1
"Stanislaus, CA",06099,344.2
"Sutter, CA",06101,157.3
"Tehama, CA",06103,21.5
"Trinity, CA",06105,4.3
"Tulare, CA",06107,91.7
"Tuolumne, CA",06109,24.9
"Ventura, CA",06111,446.7
"Yolo, CA",06113,197.9
"Yuba, CA",06115,114.2
COLORADO,08000,48.5
"Adams, CO",08001,378.2
"Alamosa, CO",08003,21.4
"Arapahoe, CO",08005,716.7
"Archuleta, CO",08007,8.9
"Baca, CO",08009,1.5
"Bent, CO",08011,4.3
"Boulder, CO",08013,405.6
"Broomfield, CO",08014,1691.9
"Chaffee, CO",08015,17.6
"Cheyenne, CO",08017,1
"Clear Creek, CO",08019,23
"Conejos, CO",08021,6.4
"Costilla, CO",08023,2.9
"Crowley, CO",08025,7.4
"Custer, CO",08027,5.8
"Delta, CO",08029,27.1
"Denver, CO",08031,3922.6
"Dolores, CO",08033,1.9
"Douglas, CO",08035,339.7
"Eagle, CO",08037,31
"Elbert, CO",08039,12.5
"El Paso, CO",08041,292.6
"Fremont, CO",08043,30.5
"Garfield, CO",08045,19.1
"Gilpin, CO",08047,36.3
"Grand, CO",08049,8
"Gunnison, CO",08051,4.7
"Hinsdale, CO",08053,0.8
"Huerfano, CO",08055,4.2
"Jackson, CO",08057,0.9
"Jefferson, CO",08059,699.5
"Kiowa, CO",08061,0.8
"Kit Carson, CO",08063,3.8
"Lake, CO",08065,19.4
"La Plata, CO",08067,30.3
"Larimer, CO",08069,115.4
"Las Animas, CO",08071,3.2
"Lincoln, CO",08073,2.1
"Logan, CO",08075,12.4
"Mesa, CO",08077,44.1
"Mineral, CO",08079,0.8
"Moffat, CO",08081,2.9
"Montezuma, CO",08083,12.6
"Montrose, CO",08085,18.4
"Morgan, CO",08087,22
"Otero, CO",08089,14.9
"Ouray, CO",08091,8.2
"Park, CO",08093,7.4
"Phillips, CO",08095,6.5
"Pitkin, CO",08097,17.7
"Prowers, CO",08099,7.7
"Pueblo, CO",08101,66.7
"Rio Blanco, CO",08103,2.1
"Rio Grande, CO",08105,13.1
"Routt, CO",08107,10
"Saguache, CO",08109,1.9
"San Juan, CO",08111,1.8
"San Miguel, CO",08113,5.7
"Sedgwick, CO",08115,4.3
"Summit, CO",08117,46
"Teller, CO",08119,41.9
"Washington, CO",08121,1.9
"Weld, CO",08123,63.4
"Yuma, CO",08125,4.2
CONNECTICUT,09000,738.1
"Fairfield, CT",09001,1467.2
"Hartford, CT",09003,1216.2
"Litchfield, CT",09005,206.3
"Middlesex, CT",09007,448.6
"New Haven, CT",09009,1426.7
"New London, CT",09011,412.2
"Tolland, CT",09013,372.2
"Windham, CT",09015,230.9
DELAWARE,10000,460.8
"Kent, DE",10001,276.9
"New Castle, DE",10003,1263.2
"Sussex, DE",10005,210.6
DISTRICT OF COLUMBIA,11000,9856.5
District of Columbia,11001,9856.6
FLORIDA,12000,350.6
"Alachua, FL",12001,282.7
"Baker, FL",12003,46.3
"Bay, FL",12005,222.6
"Bradford, FL",12007,97
"Brevard, FL",12009,535
"Broward, FL",12011,1444.9
"Calhoun, FL",12013,25.8
"Charlotte, FL",12015,235.2
"Citrus, FL",12017,242.8
"Clay, FL",12019,315.8
"Collier, FL",12021,160.9
"Columbia, FL",12023,84.7
"DeSoto, FL",12027,54.7
"Dixie, FL",12029,23.3
"Duval, FL",12031,1133.9
"Escambia, FL",12033,453.4
"Flagler, FL",12035,197.1
"Franklin, FL",12037,21.6
"Gadsden, FL",12039,89.8
"Gilchrist, FL",12041,48.4
"Glades, FL",12043,16
"Gulf, FL",12045,28.1
"Hamilton, FL",12047,28.8
"Hardee, FL",12049,43.5
"Hendry, FL",12051,34
"Hernando, FL",12053,365.6
"Highlands, FL",12055,97.2
"Hillsborough, FL",12057,1204.9
"Holmes, FL",12059,41.6
"Indian River, FL",12061,274.5
"Jackson, FL",12063,54.2
"Jefferson, FL",12065,24.7
"Lafayette, FL",12067,16.3
"Lake, FL",12069,316.6
"Lee, FL",12071,788.7
"Leon, FL",12073,413.1
"Levy, FL",12075,36.5
"Liberty, FL",12077,10
"Madison, FL",12079,27.6
"Manatee, FL",12081,434.5
"Marion, FL",12083,209.1
"Martin, FL",12085,269.2
"Miami-Dade, FL",12086,1315.5
"Monroe, FL",12087,74.3
