fips,Geographic.Area.Name,Total,Total.Urban,Total.Urban.Inside.urbanized.areas,Total.Urban.Inside.urban.clusters,Total.Rural,Total.undefined
1001,"Autauga County, Alabama",54571,31650,31650,0,22921,0
1003,"Baldwin County, Alabama",182265,105205,63649,41556,77060,0
1005,"Barbour County, Alabama",27457,8844,0,8844,18613,0
1007,"Bibb County, Alabama",22915,7252,0,7252,15663,0
1009,"Blount County, Alabama",57322,5760,386,5374,51562,0
1011,"Bullock County, Alabama",10914,5307,0,5307,5607,0
1013,"Butler County, Alabama",20947,6026,0,6026,14921,0
1015,"Calhoun County, Alabama",118572,78617,74951,3666,39955,0
1017,"Chambers County, Alabama",34215,17399,0,17399,16816,0
1019,"Cherokee County, Alabama",25989,3707,0,3707,22282,0
1021,"Chilton County, Alabama",43643,5785,0,5785,37858,0
1023,"Choctaw County, Alabama",13859,0,0,0,13859,0
1025,"Clarke County, Alabama",25833,6205,0,6205,19628,0
1027,"Clay County, Alabama",13932,0,0,0,13932,0
1029,"Cleburne County, Alabama",14972,0,0,0,14972,0
1031,"Coffee County, Alabama",49948,26375,0,26375,23573,0
1033,"Colbert County, Alabama",54428,30537,30066,471,23891,0
1035,"Conecuh County, Alabama",13228,2520,0,2520,10708,0
1037,"Coosa County, Alabama",11539,0,0,0,11539,0
1039,"Covington County, Alabama",37765,11461,0,11461,26304,0
1041,"Crenshaw County, Alabama",13906,0,0,0,13906,0
1043,"Cullman County, Alabama",80406,21517,0,21517,58889,0
1045,"Dale County, Alabama",50251,24679,2561,22118,25572,0
1047,"Dallas County, Alabama",43820,23821,0,23821,19999,0
1049,"DeKalb County, Alabama",71109,7018,0,7018,64091,0
1051,"Elmore County, Alabama",79303,36330,26957,9373,42973,0
1053,"Escambia County, Alabama",38319,13982,0,13982,24337,0
1055,"Etowah County, Alabama",104430,65286,64141,1145,39144,0
1057,"Fayette County, Alabama",17241,3408,0,3408,13833,0
1059,"Franklin County, Alabama",31704,9395,0,9395,22309,0
1061,"Geneva County, Alabama",26790,2775,121,2654,24015,0
1063,"Greene County, Alabama",9045,0,0,0,9045,0
1065,"Hale County, Alabama",15760,1707,0,1707,14053,0
1067,"Henry County, Alabama",17302,2119,0,2119,15183,0
1069,"Houston County, Alabama",101547,67220,66099,1121,34327,0
1071,"Jackson County, Alabama",53227,12233,0,12233,40994,0
1073,"Jefferson County, Alabama",658466,593714,592559,1155,64752,0
1075,"Lamar County, Alabama",14564,0,0,0,14564,0
1077,"Lauderdale County, Alabama",92709,47008,47008,0,45701,0
1079,"Lawrence County, Alabama",34339,2991,72,2919,31348,0
1081,"Lee County, Alabama",140247,101806,101806,0,38441,0
1083,"Limestone County, Alabama",82782,35092,10136,24956,47690,0
1085,"Lowndes County, Alabama",11299,0,0,0,11299,0
1087,"Macon County, Alabama",21452,9536,0,9536,11916,0
1089,"Madison County, Alabama",334811,279763,276556,3207,55048,0
1091,"Marengo County, Alabama",21027,6452,0,6452,14575,0
1093,"Marion County, Alabama",30776,3430,0,3430,27346,0
1095,"Marshall County, Alabama",93019,43469,0,43469,49550,0
1097,"Mobile County, Alabama",412992,330310,326183,4127,82682,0
1099,"Monroe County, Alabama",23068,4834,0,4834,18234,0
1101,"Montgomery County, Alabama",229363,205300,205300,0,24063,0
1103,"Morgan County, Alabama",119490,73370,70364,3006,46120,0
1105,"Perry County, Alabama",10591,0,0,0,10591,0
1107,"Pickens County, Alabama",19746,0,0,0,19746,0
1109,"Pike County, Alabama",32899,15897,0,15897,17002,0
1111,"Randolph County, Alabama",22913,4275,0,4275,18638,0
1113,"Russell County, Alabama",52947,34199,34199,0,18748,0
1115,"St. Clair County, Alabama",83593,22740,8869,13871,60853,0
1117,"Shelby County, Alabama",195085,150323,147681,2642,44762,0
1119,"Sumter County, Alabama",13763,0,0,0,13763,0
1121,"Talladega County, Alabama",82291,36360,4876,31484,45931,0
1123,"Tallapoosa County, Alabama",41616,10726,0,10726,30890,0
1125,"Tuscaloosa County, Alabama",194656,145003,139114,5889,49653,0
1127,"Walker County, Alabama",67023,17367,0,17367,49656,0
1129,"Washington County, Alabama",17581,0,0,0,17581,0
1131,"Wilcox County, Alabama",11670,0,0,0,11670,0
1133,"Winston County, Alabama",24484,3699,0,3699,20785,0
2013,"Aleutians East Borough, Alaska",3141,0,0,0,3141,0
2016,"Aleutians West Census Area, Alaska",5561,0,0,0,5561,0
2020,"Anchorage Municipality, Alaska",291826,279811,251243,28568,12015,0
2050,"Bethel Census Area, Alaska",17013,4434,0,4434,12579,0
2060,"Bristol Bay Borough, Alaska",997,0,0,0,997,0
2068,"Denali Borough, Alaska",1826,0,0,0,1826,0
2070,"Dillingham Census Area, Alaska",4847,0,0,0,4847,0
2090,"Fairbanks North Star Borough, Alaska",97581,67457,64513,2944,30124,0
2100,"Haines Borough, Alaska",2508,0,0,0,2508,0
2105,"Hoonah-Angoon Census Area, Alaska",2150,0,0,0,2150,0
2110,"Juneau City and Borough, Alaska",31275,24537,0,24537,6738,0
2122,"Kenai Peninsula Borough, Alaska",55400,11447,0,11447,43953,0
2130,"Ketchikan Gateway Borough, Alaska",13477,10352,0,10352,3125,0
2150,"Kodiak Island Borough, Alaska",13592,9335,0,9335,4257,0
2164,"Lake and Peninsula Borough, Alaska",1631,0,0,0,1631,0
2170,"Matanuska-Susitna Borough, Alaska",88995,44236,0,44236,44759,0
2180,"Nome Census Area, Alaska",9492,3222,0,3222,6270,0
2185,"North Slope Borough, Alaska",9430,3835,0,3835,5595,0
2188,"Northwest Arctic Borough, Alaska",7523,3200,0,3200,4323,0
2195,"Petersburg Census Area, Alaska",3815,0,0,0,3815,0
2198,"Prince of Wales-Hyder Census Area, Alaska",5559,0,0,0,5559,0
2220,"Sitka City and Borough, Alaska",8881,7027,0,7027,1854,0
