"","STATEFP","COUNTYFP","COUNAME","STNAME","POPULATION","LATITUDE","LONGITUDE"
"1",1,1,"Autauga","Alabama",54571,32.500389,-86.494165
"2",1,3,"Baldwin","Alabama",182265,30.548923,-87.762381
"3",1,5,"Barbour","Alabama",27457,31.844036,-85.310038
"4",1,7,"Bibb","Alabama",22915,33.030921,-87.127659
"5",1,9,"Blount","Alabama",57322,33.955243,-86.591491
"6",1,11,"Bullock","Alabama",10914,32.116327,-85.701192
"7",1,13,"Butler","Alabama",20947,31.773539,-86.65355
"8",1,15,"Calhoun","Alabama",118572,33.72546,-85.819442
"9",1,17,"Chambers","Alabama",34215,32.860439,-85.266474
"10",1,19,"Cherokee","Alabama",25989,34.179333,-85.629194
"11",1,21,"Chilton","Alabama",43643,32.877547,-86.687406
"12",1,23,"Choctaw","Alabama",13859,32.016562,-88.264164
"13",1,25,"Clarke","Alabama",25833,31.685685,-87.815673
"14",1,27,"Clay","Alabama",13932,33.272412,-85.820227
"15",1,29,"Cleburne","Alabama",14972,33.62977,-85.494315
"16",1,31,"Coffee","Alabama",49948,31.354433,-85.904715
"17",1,33,"Colbert","Alabama",54428,34.723385,-87.685151
"18",1,35,"Conecuh","Alabama",13228,31.418674,-86.996483
"19",1,37,"Coosa","Alabama",11539,32.975932,-86.155035
"20",1,39,"Covington","Alabama",37765,31.282449,-86.410955
"21",1,41,"Crenshaw","Alabama",13906,31.743487,-86.29708
"22",1,43,"Cullman","Alabama",80406,34.162362,-86.831859
"23",1,45,"Dale","Alabama",50251,31.383346,-85.641269
"24",1,47,"Dallas","Alabama",43820,32.408815,-87.034955
"25",1,49,"DeKalb","Alabama",71109,34.45511,-85.817208
"26",1,51,"Elmore","Alabama",79303,32.559652,-86.225647
"27",1,53,"Escambia","Alabama",38319,31.088737,-87.282053
"28",1,55,"Etowah","Alabama",104430,34.013693,-86.025393
"29",1,57,"Fayette","Alabama",17241,33.726422,-87.770355
"30",1,59,"Franklin","Alabama",31704,34.460481,-87.793594
"31",1,61,"Geneva","Alabama",26790,31.09426,-85.788849
"32",1,63,"Greene","Alabama",9045,32.830505,-87.924
"33",1,65,"Hale","Alabama",15760,32.775804,-87.626084
"34",1,67,"Henry","Alabama",17302,31.478593,-85.268828
"35",1,69,"Houston","Alabama",101547,31.20455,-85.391221
"36",1,71,"Jackson","Alabama",53227,34.731984,-85.938698
"37",1,73,"Jefferson","Alabama",658466,33.518601,-86.814688
"38",1,75,"Lamar","Alabama",14564,33.762769,-88.109649
"39",1,77,"Lauderdale","Alabama",92709,34.866179,-87.608759
"40",1,79,"Lawrence","Alabama",34339,34.543683,-87.272414
"41",1,81,"Lee","Alabama",140247,32.588092,-85.345833
"42",1,83,"Limestone","Alabama",82782,34.815612,-86.938972
"43",1,85,"Lowndes","Alabama",11299,32.162415,-86.618688
"44",1,87,"Macon","Alabama",21452,32.425739,-85.715007
"45",1,89,"Madison","Alabama",334811,34.746392,-86.613232
"46",1,91,"Marengo","Alabama",21027,32.340479,-87.800648
"47",1,93,"Marion","Alabama",30776,34.111797,-87.8743
"48",1,95,"Marshall","Alabama",93019,34.311974,-86.293279
"49",1,97,"Mobile","Alabama",412992,30.683993,-88.170637
"50",1,99,"Monroe","Alabama",23068,31.505611,-87.360894
"51",1,101,"Montgomery","Alabama",229363,32.346175,-86.243797
"52",1,103,"Morgan","Alabama",119490,34.514252,-86.930781
"53",1,105,"Perry","Alabama",10591,32.581066,-87.369219
"54",1,107,"Pickens","Alabama",19746,33.292973,-88.066472
"55",1,109,"Pike","Alabama",32899,31.787277,-85.948647
"56",1,111,"Randolph","Alabama",22913,33.257607,-85.427266
"57",1,113,"Russell","Alabama",52947,32.421972,-85.062843
"58",1,115,"St. Clair","Alabama",83593,33.660628,-86.369107
"59",1,117,"Shelby","Alabama",195085,33.290719,-86.737978
"60",1,119,"Sumter","Alabama",13763,32.57442,-88.232646
"61",1,121,"Talladega","Alabama",82291,33.372083,-86.169238
"62",1,123,"Tallapoosa","Alabama",41616,32.85306,-85.864503
"63",1,125,"Tuscaloosa","Alabama",194656,33.214154,-87.520229
"64",1,127,"Walker","Alabama",67023,33.834858,-87.253922
"65",1,129,"Washington","Alabama",17581,31.410368,-88.18612
"66",1,131,"Wilcox","Alabama",11670,31.999753,-87.380407
"67",1,133,"Winston","Alabama",24484,34.163824,-87.415693
"68",2,13,"Aleutians East","Alaska",3141,54.860151,-162.901536
"69",2,16,"Aleutians West","Alaska",5561,54.023571,-168.292885
"70",2,20,"Anchorage","Alaska",291826,61.192232,-149.793182
"71",2,50,"Bethel","Alaska",17013,60.679946,-162.151263
"72",2,60,"Bristol Bay","Alaska",997,58.735464,-156.834047
"73",2,68,"Denali","Alaska",1826,63.882845,-149.032949
"74",2,70,"Dillingham","Alaska",4847,59.136256,-158.718472
"75",2,90,"Fairbanks North Star","Alaska",97581,64.831552,-147.624018
"76",2,100,"Haines","Alaska",2508,59.264125,-135.559897
"77",2,105,"Hoonah-Angoon","Alaska",2150,58.078282,-135.384163
"78",2,110,"Juneau","Alaska",31275,58.358516,-134.530605
"79",2,122,"Kenai Peninsula","Alaska",55400,60.292592,-151.064475
"80",2,130,"Ketchikan Gateway","Alaska",13477,55.367858,-131.678527
"81",2,150,"Kodiak Island","Alaska",13592,57.779137,-152.460881
"82",2,164,"Lake and Peninsula","Alaska",1631,58.557351,-156.371652
"83",2,170,"Matanuska-Susitna","Alaska",88995,61.611281,-149.421961
"84",2,180,"Nome","Alaska",9492,64.457026,-165.295491
"85",2,185,"North Slope","Alaska",9430,70.522779,-154.862085
"86",2,188,"Northwest Arctic","Alaska",7523,66.943735,-161.638185
"87",2,195,"Petersburg","Alaska",3815,56.812712,-133.115025
"88",2,198,"Prince of Wales-Hyder","Alaska",5559,55.448164,-132.560842
"89",2,220,"Sitka","Alaska",8881,57.062746,-135.337171
"90",2,230,"Skagway","Alaska",968,59.464536,-135.311501
"91",2,240,"Southeast Fairbanks","Alaska",7029,63.856185,-144.687024
"92",2,261,"Valdez-Cordova","Alaska",9636,61.26149,-145.882504
"93",2,270,"Wade Hampton","Alaska",7459,62.089902,-164.314723
"94",2,275,"Wrangell","Alaska",2369,56.385821,-132.310837
"95",2,282,"Yakutat","Alaska",662,59.547975,-139.724878
"96",2,290,"Yukon-Koyukuk","Alaska",5588,65.010262,-152.550423
"97",4,1,"Apache","Arizona",71518,35.577687,-109.41484
"98",4,3,"Cochise","Arizona",131346,31.607357,-110.063053
"99",4,5,"Coconino","Arizona",134421,35.514426,-111.590056
"100",4,7,"Gila","Arizona",53597,33.82356,-111.007494
"101",4,9,"Graham","Arizona",37220,32.86733,-109.812181
"102",4,11,"Greenlee","Arizona",8437,32.970402,-109.248712
"103",4,12,"La Paz","Arizona",20489,33.908361,-114.172146
"104",4,13,"Maricopa","Arizona",3817117,33.493403,-112.04143
"105",4,15,"Mohave","Arizona",200186,35.069679,-114.249634
"106",4,17,"Navajo","Arizona",107449,34.893625,-110.211155
"107",4,19,"Pima","Arizona",980263,32.216707,-110.96001
"108",4,21,"Pinal","Arizona",375770,33.060133,-111.588364
"109",4,23,"Santa Cruz","Arizona",47420,31.434733,-110.943195
"110",4,25,"Yavapai","Arizona",211033,34.629014,-112.267767
"111",4,27,"Yuma","Arizona",195751,32.65004,-114.598663
"112",5,1,"Arkansas","Arkansas",19019,34.405316,-91.461284
"113",5,3,"Ashley","Arkansas",21853,33.179373,-91.87136
"114",5,5,"Baxter","Arkansas",41513,36.332208,-92.383933
"115",5,7,"Benton","Arkansas",221339,36.337348,-94.230543
"116",5,9,"Boone","Arkansas",36903,36.267871,-93.099344
"117",5,11,"Bradley","Arkansas",11508,33.569321,-92.103312
"118",5,13,"Calhoun","Arkansas",5368,33.591116,-92.495555
"119",5,15,"Carroll","Arkansas",27446,36.373069,-93.570816
"120",5,17,"Chicot","Arkansas",11800,33.32186,-91.318378
"121",5,19,"Clark","Arkansas",22995,34.094705,-93.124856
"122",5,21,"Clay","Arkansas",16083,36.370695,-90.372418
"123",5,23,"Cleburne","Arkansas",25970,35.510232,-92.037481
"124",5,25,"Cleveland","Arkansas",8689,33.914989,-92.139146
"125",5,27,"Columbia","Arkansas",24552,33.258045,-93.247459
"126",5,29,"Conway","Arkansas",21273,35.214487,-92.70416
"127",5,31,"Craighead","Arkansas",96443,35.835235,-90.669325
"128",5,33,"Crawford","Arkansas",61948,35.496882,-94.28436
"129",5,35,"Crittenden","Arkansas",50902,35.17736,-90.217261
"130",5,37,"Cross","Arkansas",17870,35.252833,-90.775307
"131",5,39,"Dallas","Arkansas",8116,33.869213,-92.527123
"132",5,41,"Desha","Arkansas",13008,33.773838,-91.417485
"133",5,43,"Drew","Arkansas",18509,33.6274,-91.781779
"134",5,45,"Faulkner","Arkansas",113237,35.104918,-92.405359
"135",5,47,"Franklin","Arkansas",18125,35.446102,-93.885464
"136",5,49,"Fulton","Arkansas",12245,36.376787,-91.764934
"137",5,51,"Garland","Arkansas",96024,34.505811,-93.081852
"138",5,53,"Grant","Arkansas",17853,34.309174,-92.412714
"139",5,55,"Greene","Arkansas",42090,36.07312,-90.523016
"140",5,57,"Hempstead","Arkansas",22609,33.699647,-93.623587
"141",5,59,"Hot Spring","Arkansas",32923,34.353464,-92.894595
"142",5,61,"Howard","Arkansas",13789,33.983198,-93.910184
"143",5,63,"Independence","Arkansas",36647,35.749801,-91.607539
"144",5,65,"Izard","Arkansas",13696,36.120217,-91.908429
"145",5,67,"Jackson","Arkansas",17997,35.621102,-91.246233
"146",5,69,"Jefferson","Arkansas",77435,34.233473,-92.041179
"147",5,71,"Johnson","Arkansas",25540,35.475272,-93.475517
"148",5,73,"Lafayette","Arkansas",7645,33.287629,-93.557538
"149",5,75,"Lawrence","Arkansas",17415,36.070224,-91.065733
"150",5,77,"Lee","Arkansas",10424,34.785214,-90.774516
"151",5,79,"Lincoln","Arkansas",14134,33.975379,-91.746234
"152",5,81,"Little River","Arkansas",13171,33.700518,-94.195995
"153",5,83,"Logan","Arkansas",22353,35.227532,-93.768119
"154",5,85,"Lonoke","Arkansas",68356,34.905178,-91.970577
"155",5,87,"Madison","Arkansas",15717,36.061309,-93.755297
"156",5,89,"Marion","Arkansas",16653,36.28457,-92.663368
"157",5,91,"Miller","Arkansas",43462,33.400831,-93.987504
"158",5,93,"Mississippi","Arkansas",46480,35.84288,-89.999037
"159",5,95,"Monroe","Arkansas",8149,34.777729,-91.218021
"160",5,97,"Montgomery","Arkansas",9487,34.517013,-93.622663
"161",5,99,"Nevada","Arkansas",8997,33.722168,-93.358085
"162",5,101,"Newton","Arkansas",8330,35.98494,-93.1705
"163",5,103,"Ouachita","Arkansas",26120,33.574461,-92.838871
"164",5,105,"Perry","Arkansas",10445,34.999054,-92.779271
"165",5,107,"Phillips","Arkansas",21757,34.529768,-90.707796
"166",5,109,"Pike","Arkansas",11291,34.187298,-93.624765
"167",5,111,"Poinsett","Arkansas",24583,35.60191,-90.557998
"168",5,113,"Polk","Arkansas",20662,34.52045,-94.258519
"169",5,115,"Pope","Arkansas",61754,35.309776,-93.097238
"170",5,117,"Prairie","Arkansas",8715,34.859177,-91.536241
"171",5,119,"Pulaski","Arkansas",382748,34.773719,-92.311659
"172",5,121,"Randolph","Arkansas",17969,36.304758,-90.98842
